country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,,,,,,,,,,99,
Afghanistan,,,,,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,,,,,,,,,,80.1
Anguilla,,,,,,,,,,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,98.5,,,98.7
Netherlands Antilles,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,,,,,,,,,98.5
UAE,65.5,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,93.6,,,,,,
Argentina,,,,,,96.5,,,,,,,,,,,98.1,,,,,,,,,,98.7,,,,,,,,,,99
Armenia,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,99.8,,,,,,,,,,99.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,100,,100,,
Burundi,,,,,40.9,,,,,,,,,,,59.5,,,,,,,,,,76.8,,,,,,,,89.6,,,
Benin,,,,,45.7,,,,,,,,,,,,,55.1,,,,,,,,,,59.2,,,,54.9,,,,,
Burkina Faso,22.4,,,,,,,,,,,,,,,,26.8,,,,,25.5,,,,,,,38.4,,40.4,,46.7,,,,
Bangladesh,,,,,,,44.4,,,,,,,,,,51.7,,,,,,,,,,67.2,,,,,,,,,,77.1
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,,,,98.1
Bahrain,,,,,,,89.7,,,,,,,,,,97.3,,,,,,,,,,96.8,,,,,,,,,98.6,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.7
Belarus,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Belize,,,,,,,,,,,,,,,,,76.1,,,,,,,,,,,,,,,,,,,,
Bolivia,,91.5,,,,,,,,,,,,,,,,96.3,,,,,,,,,98.5,,,,,,99.8,99.4,99.7,,
Brazil,,,,,,82.6,,,,,,,,,,,,,,,,,,,,92.7,,,,95.8,,96.8,97.1,97.2,97.5,96.7,
Brunei,,,,,,,94.1,,,,,,,,,,98.1,,,,,,,,,,98.9,,,,,,,,,,99.8
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,
Botswana,,,,,,,,,,,,,,,,,85.9,,,,,,,,,,,,92.1,,,,,,,,93.5
Central African Republic,54,,,,,,,,,,,,,62.6,,,,,,,,,,,,72.6,,,,,,,,,,,72.3
Chile,,,,,,,,96.2,,,,,,,,,,98.2,,,,,,,,,,98.8,,,,,,99.1,98.9,,
China,,,,,,,,95.2,,,,,,,,97,,,,,,,,,,99.2,,,,,,,,,,99.7,
Cote d'Ivoire,,,,,,,,,,,,,,59.9,,,,,,,,,,54.4,,70.8,,,,,,,,,,,72.3
Cameroon,,79.6,,,,,,,,,,,,,,,,,,,,,,,,88.4,,,,,,,89.4,,,85.4,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,78.9,,,,
Colombia,,,,,,,,,,,,,,,,,,,89.4,,,96.4,,,,,,,,97.5,97.5,97.5,97.5,97.5,97.4,97.7,97.8
Comoros,,,,,,69.4,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,86.1
Cape Verde,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,96.2,,,,,,,97.7
Costa Rica,,,,,,,,,,96.8,,,,,,,,,,,,,,,,97.2,,,,,,,,,,,97.9
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,,,
Cyprus,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,99.7,,,,,,,,,,99.8
Dominican Republic,,,,,,,81.3,,,,,,,,,,,,,,,,,,,,,93,,,,,94.6,,,95.8,96.1
Algeria,,,,,,,,,,,,,86.2,,,,,,,,,,,,,,,94.1,,,,94.4,,,,,
Ecuador,,,,,,,,94.5,,,,,,,,96.6,,,,,,,,,,,96.4,,,,,,95.2,,96.8,98.5,98.6
Egypt,,63,,,,,,,,,,71.4,,,,,,,,,,79,,,,,,,,,90.1,87.9,,,,90.6,91.5
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3,,,,,,,,,92.6
Spain,,,,,,,98.6,,,,,,,,,,99.5,,,,,,,,,,,,,,99.6,,99.6,99.5,99.6,99.5,
Estonia,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.7,,,,,,,,,,,99.8
Ethiopia,,,,,,,,,,,,,,,,,,,,39.3,,,,,,,,,,62.2,55.9,,63,,,,
Gabon,,,,,,,,,,,,,,,,,,,94.4,,,,,,,,,,,97.8,,,,,,,98.8
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,99.8
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,88.3,
Guinea,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,,,59.5,,,,,,,37.6,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,,,,,,,,,,,72.6
Guinea-Bissau,,,,,59.7,,,,,,,,,,,,,,,,,,,,,74.8,,,,,,,,,,,79.3
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,97.6,,,,,,,,,,,97.7
Greece,,,,,,,99,,,,,,,,,,99,,,,,,,,,,98.9,,,,,,,,,,99.4
Guatemala,,,,,,,,,,,,,,,,,,,,81.7,,,,,,,,86.4,,,,,,,,,89.3
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,,,,,,92.7,,,94.5,94.9
Croatia,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.6,,,,,,,,,,99.6
Haiti,,,,,,,,51.3,,,,,,,,,,,,,,,,,,,,,82.7,,,74.4,,,,,
Hungary,,,,,,99.4,,,,,,,,,,,,,,99.1,,,,,,,,,,98.9,,,,,,,98.8
Indonesia,,,,,,89.6,,,,,,,,,,97.4,,,,,,,,,,,,,,98.9,,97,,99.5,99.5,,98.8
India,,,,,,,66.3,,,,,,,,,,73.5,,,,,,,,,,84.2,,,,,88.4,,,,,
Iran,,70.9,,,,,,,,,,84.5,,,,,92.4,,,,,95.5,,,,,,,,,98.1,97.2,,98.8,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,,,,,,,,84.1
Israel,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,87.3,,,,,,,,,,,,92.9
